2026-09-20 18:26:04 configure libgcc-s1:amd64 14.2.0-19 <none>
2026-09-20 18:26:04 status unpacked libgcc-s1:amd64 14.2.0-19
2026-09-20 18:26:04 status half-configured libgcc-s1:amd64 14.2.0-19
2026-09-20 18:26:04 status installed libgcc-s1:amd64 14.2.0-19
2026-09-20 18:26:04 configure libc6:amd64 2.41-12+deb13u4 <none>
2026-09-20 18:26:04 status unpacked libc6:amd64 2.41-12+deb13u4
2026-09-20 18:26:04 status half-configured libc6:amd64 2.41-12+deb13u4
2026-09-20 18:26:04 status installed libc6:amd64 2.41-12+deb13u4
2026-09-20 18:26:04 configure libdb5.3t64:amd64 5.3.28+dfsg2-9 <none>
2026-09-20 18:26:04 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-09-20 18:26:05 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-09-20 18:26:05 status installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2026-09-20 18:26:05 configure libmd0:amd64 1.1.0-2+b1 <none>
2026-09-20 18:26:05 status unpacked libmd0:amd64 1.1.0-2+b1
2026-09-20 18:26:05 status half-configured libmd0:amd64 1.1.0-2+b1
2026-09-20 18:26:05 status installed libmd0:amd64 1.1.0-2+b1
2026-09-20 18:26:05 configure libxxhash0:amd64 0.8.3-2 <none>
2026-09-20 18:26:05 status unpacked libxxhash0:amd64 0.8.3-2
2026-09-20 18:26:05 status half-configured libxxhash0:amd64 0.8.3-2
2026-09-20 18:26:05 status installed libxxhash0:amd64 0.8.3-2
2026-09-20 18:26:05 configure libattr1:amd64 1:2.5.2-3 <none>
2026-09-20 18:26:05 status unpacked libattr1:amd64 1:2.5.2-3
2026-09-20 18:26:05 status half-configured libattr1:amd64 1:2.5.2-3
2026-09-20 18:26:05 status installed libattr1:amd64 1:2.5.2-3
2026-09-20 18:26:05 configure sysvinit-utils:amd64 3.14-4 <none>
2026-09-20 18:26:05 status unpacked sysvinit-utils:amd64 3.14-4
2026-09-20 18:26:05 status half-configured sysvinit-utils:amd64 3.14-4
2026-09-20 18:26:05 status installed sysvinit-utils:amd64 3.14-4
2026-09-20 18:26:05 configure debianutils:amd64 5.23.2 <none>
2026-09-20 18:26:05 status unpacked debianutils:amd64 5.23.2
2026-09-20 18:26:05 status half-configured debianutils:amd64 5.23.2
2026-09-20 18:26:05 status installed debianutils:amd64 5.23.2
2026-09-20 18:26:05 configure mawk:amd64 1.3.4.20250131-1 <none>
2026-09-20 18:26:05 status unpacked mawk:amd64 1.3.4.20250131-1
2026-09-20 18:26:05 status half-configured mawk:amd64 1.3.4.20250131-1
2026-09-20 18:26:05 status installed mawk:amd64 1.3.4.20250131-1
